content_type,n_samples,BERT_recall,BERT_missed,Fusion_recall,Fusion_missed,Fusion_minus_BERT
ALL_SPAM,3000,0.9353333333333333,194,0.936,192,0.0006666666666667043
其他垃圾,1100,0.9081818181818182,101,0.8936363636363637,117,-0.014545454545454528
营销广告,750,0.9773333333333334,17,0.9866666666666667,10,0.009333333333333305
钓鱼链接,620,0.9435483870967742,35,0.9435483870967742,35,0.0
中奖福利,350,0.9314285714285714,24,0.9628571428571429,13,0.03142857142857147
金融贷款,150,0.8866666666666667,17,0.8866666666666667,17,0.0
证件发票,30,1.0,0,1.0,0,0.0
