model,attack_type,n_samples,accuracy,precision,recall,f1,seconds
Word2Vec-w+LR,A,3360,0.9226190476190477,0.8789144050104384,0.9362490733876946,0.9066762383345298,0.014474299998255447
Word2Vec-w+LR,B,3881,0.9020870909559392,0.8718434343434344,0.886392811296534,0.879057924888606,0.014474299998255447
Word2Vec-w+LR,C,2075,0.8457831325301205,0.8617771509167842,0.7334933973589436,0.7924773022049286,0.014474299998255447
Word2Vec-w+LR,D,3881,0.8788971914455037,0.8641231593038822,0.8286264441591784,0.846002621231979,0.014474299998255447
Word2Vec-w+LR,E,755,0.9205298013245033,0.8715596330275229,0.9405940594059405,0.9047619047619048,0.014474299998255447
Word2Vec-w+LR,F,3348,0.9247311827956989,0.8791666666666667,0.9419642857142857,0.9094827586206896,0.014474299998255447
Word2Vec-w+LR,G,2598,0.9253271747498075,0.8848594741613781,0.9357622243528284,0.9095992544268406,0.014474299998255447
Word2Vec-w+LR,H,3311,0.9223799456357595,0.8779971791255289,0.9367945823927766,0.9064433927921369,0.014474299998255447
Word2Vec-w+LR,I,3876,0.8888028895768834,0.8674069235793599,0.8534704370179949,0.8603822481373502,0.014474299998255447
Word2Vec-w+LR,J,3879,0.8692962103634957,0.8605769230769231,0.804752729608221,0.8317291735811484,0.014474299998255447
Word2Vec-w+LR,K,3348,0.9232377538829152,0.8808689558514365,0.9352678571428571,0.9072536990256225,0.014474299998255447
Word2Vec-w+LR,L,3358,0.8924955330553901,0.8718914845516202,0.8583086053412463,0.8650467289719627,0.014474299998255447
Word2Vec-w+LR,M,3358,0.7763549731983324,0.8158730158730159,0.5719584569732937,0.672481465329263,0.014474299998255447
Word2Vec-c+LR,ALL,16102,0.8990808595205565,0.9803193171040152,0.9001378909935409,0.938519163103931,0.01203929999974207
Word2Vec-c+LR,Original,3881,0.8845658335480546,0.8451492537313433,0.8722721437740694,0.8584965255843335,0.01203929999974207
Word2Vec-c+LR,A,3360,0.9083333333333333,0.8528813559322034,0.9325426241660489,0.8909348441926346,0.01203929999974207
Word2Vec-c+LR,B,3881,0.8747745426436485,0.8414012738853504,0.8478818998716303,0.8446291560102301,0.01203929999974207
Word2Vec-c+LR,C,2075,0.8795180722891566,0.8482676224611708,0.8523409363745498,0.8502994011976048,0.01203929999974207
Word2Vec-c+LR,D,3881,0.8845658335480546,0.8451492537313433,0.8722721437740694,0.8584965255843335,0.01203929999974207
Word2Vec-c+LR,E,755,0.909933774834437,0.8615384615384616,0.9240924092409241,0.89171974522293,0.01203929999974207
Word2Vec-c+LR,F,3348,0.918757467144564,0.8559096945551129,0.9590773809523809,0.9045614035087719,0.01203929999974207
Word2Vec-c+LR,G,2598,0.9149345650500385,0.8617957746478874,0.9386385426653883,0.898577329050023,0.01203929999974207
Word2Vec-c+LR,H,3311,0.9115070975536091,0.8538251366120219,0.9405568096313017,0.8950948800572861,0.01203929999974207
