model,attack_type,n_samples,accuracy,precision,recall,f1,seconds
GAS-lite,ALL,19461,0.8710240994810133,0.9729694774961201,0.8779320807562142,0.9230108582295564,0.0013314999996509869
GAS-lite,Original,3881,0.8376707034269518,0.7630385487528345,0.8639281129653402,0.8103552077062011,0.0013314999996509869
GAS-lite,A,3881,0.8345787168255604,0.7614155251141552,0.8562259306803595,0.8060422960725075,0.0013314999996509869
GAS-lite,B,3881,0.8626642617881989,0.7753895754970446,0.9261874197689345,0.844106463878327,0.0013314999996509869
GAS-lite,C,3881,0.8397320278278794,0.7641083521444695,0.8690629011553274,0.8132132132132132,0.0013314999996509869
GAS-lite,D,3881,0.8376707034269518,0.7630385487528345,0.8639281129653402,0.8103552077062011,0.0013314999996509869
GAS-lite,E,3881,0.8379283689770678,0.7631728045325779,0.8645699614890886,0.8107132109539573,0.0013314999996509869
GAS-lite,F,3881,0.8454006699304303,0.7670011148272018,0.883183568677792,0.8210023866348448,0.0013314999996509869
GAS-lite,G,3881,0.8384437000772996,0.7634408602150538,0.8658536585365854,0.8114285714285714,0.0013314999996509869
GAS-lite,H,3881,0.8484926565318217,0.7685492801771872,0.8908857509627728,0.8252080856123662,0.0013314999996509869
GAS-lite,I,3881,0.8376707034269518,0.7630385487528345,0.8639281129653402,0.8103552077062011,0.0013314999996509869
GAS-lite,J,3881,0.8376707034269518,0.7630385487528345,0.8639281129653402,0.8103552077062011,0.0013314999996509869
GAS-lite,K,3881,0.8495233187322855,0.7690607734806629,0.8934531450577664,0.8266033254156769,0.0013314999996509869
GAS-lite,L,3881,0.8495233187322855,0.7690607734806629,0.8934531450577664,0.8266033254156769,0.0013314999996509869
GAS-lite,M,3881,0.8559649574851842,0.7722070844686648,0.9094993581514762,0.8352490421455939,0.0013314999996509869
Word2Vec-w+LR,ALL,19461,0.8768305842454139,0.9851247284933851,0.8733224413583849,0.9258606291175652,0.0069316999997681705
Word2Vec-w+LR,Original,3881,0.9103323885596496,0.8640192539109507,0.9216944801026957,0.8919254658385093,0.0069316999997681705
Word2Vec-w+LR,A,3881,0.9141973718113888,0.8652355396541443,0.9313222079589217,0.897063369397218,0.0069316999997681705
Word2Vec-w+LR,B,3881,0.9033754187065189,0.8617737003058104,0.9043645699614891,0.8825555903538992,0.0069316999997681705
Word2Vec-w+LR,C,3881,0.872713218242721,0.8509234828496042,0.82798459563543,0.8392973324658426,0.0069316999997681705
Word2Vec-w+LR,D,3881,0.8794125225457357,0.8534370946822308,0.8446726572528883,0.8490322580645161,0.0069316999997681705
Word2Vec-w+LR,E,3881,0.9103323885596496,0.8640192539109507,0.9216944801026957,0.8919254658385093,0.0069316999997681705
Word2Vec-w+LR,F,3881,0.9129090440608091,0.8648325358851675,0.9281129653401797,0.8953560371517028,0.0069316999997681705
Word2Vec-w+LR,G,3881,0.9111053852099974,0.8642642642642643,0.923620025673941,0.8929568724790568,0.0069316999997681705
Word2Vec-w+LR,H,3881,0.9069827364081422,0.8629472407519709,0.9133504492939666,0.8874337386966011,0.0069316999997681705
Word2Vec-w+LR,I,3881,0.8861118268487503,0.8558673469387755,0.8613607188703466,0.8586052463211772,0.0069316999997681705
Word2Vec-w+LR,J,3881,0.8742592115434167,0.8515111695137977,0.8318356867779204,0.8415584415584415,0.0069316999997681705
Word2Vec-w+LR,K,3881,0.9113630507601134,0.8643457382953181,0.9242618741976893,0.8933002481389578,0.0069316999997681705
Word2Vec-w+LR,L,3881,0.8781241947951559,0.8529603122966819,0.8414634146341463,0.847172859450727,0.0069316999997681705
Word2Vec-w+LR,M,3881,0.7925792321566607,0.812448132780083,0.6283697047496791,0.7086500180962721,0.0069316999997681705
Word2Vec-c+LR,ALL,19461,0.874261343199219,0.983288374235147,0.8720387443108881,0.9243281689705292,0.0064635999988240656
Word2Vec-c+LR,Original,3881,0.8814738469466632,0.8418430884184309,0.8677792041078306,0.854614412136536,0.0064635999988240656
Word2Vec-c+LR,A,3881,0.8825045091471271,0.8422360248447205,0.8703465982028241,0.8560606060606061,0.0064635999988240656
Word2Vec-c+LR,B,3881,0.8840505024478227,0.8428217821782178,0.8741976893453145,0.8582230623818525,0.0064635999988240656
Word2Vec-c+LR,C,3881,0.8910074723009533,0.8454047474132684,0.8915275994865212,0.8678537956888472,0.0064635999988240656
Word2Vec-c+LR,D,3881,0.8814738469466632,0.8418430884184309,0.8677792041078306,0.854614412136536,0.0064635999988240656
Word2Vec-c+LR,E,3881,0.8814738469466632,0.8418430884184309,0.8677792041078306,0.854614412136536,0.0064635999988240656
Word2Vec-c+LR,F,3881,0.8889461479000258,0.8446483180428135,0.886392811296534,0.8650172251800814,0.0064635999988240656
Word2Vec-c+LR,G,3881,0.8830198402473589,0.8424317617866005,0.8716302952503209,0.8567823343848581,0.0064635999988240656
Word2Vec-c+LR,H,3881,0.8830198402473589,0.8424317617866005,0.8716302952503209,0.8567823343848581,0.0064635999988240656
Word2Vec-c+LR,I,3881,0.8814738469466632,0.8418430884184309,0.8677792041078306,0.854614412136536,0.0064635999988240656
Word2Vec-c+LR,J,3881,0.8814738469466632,0.8418430884184309,0.8677792041078306,0.854614412136536,0.0064635999988240656
Word2Vec-c+LR,K,3881,0.8951301211028085,0.8468957203134418,0.9017971758664955,0.8734846129934721,0.0064635999988240656
Word2Vec-c+LR,L,3881,0.8946147900025767,0.8467109233554617,0.9005134788189987,0.8727838258164852,0.0064635999988240656
Word2Vec-c+LR,M,3881,0.8765782014944602,0.8399495904221802,0.8555840821566111,0.8476947535771066,0.0064635999988240656
Word2Vec-c+GBDT,ALL,19461,0.918041210626381,0.9883742851756425,0.9177266892286148,0.9517412483737254,0.040062799998850096
Word2Vec-c+GBDT,Original,3881,0.9206390105642875,0.8858024691358025,0.9210526315789473,0.9030837004405287,0.040062799998850096
Word2Vec-c+GBDT,A,3881,0.9178046895130121,0.8850217526413922,0.9139922978177151,0.899273760656773,0.040062799998850096
Word2Vec-c+GBDT,B,3881,0.8933264622519969,0.8778071334214003,0.8530166880616175,0.865234375,0.040062799998850096
Word2Vec-c+GBDT,C,3881,0.9208966761144035,0.8858729179518815,0.9216944801026957,0.9034287511796162,0.040062799998850096
Word2Vec-c+GBDT,D,3881,0.9206390105642875,0.8858024691358025,0.9210526315789473,0.9030837004405287,0.040062799998850096
Word2Vec-c+GBDT,E,3881,0.9208966761144035,0.8858729179518815,0.9216944801026957,0.9034287511796162,0.040062799998850096
Word2Vec-c+GBDT,F,3881,0.9288843081679979,0.8880145278450363,0.941591784338896,0.914018691588785,0.040062799998850096
Word2Vec-c+GBDT,G,3881,0.9216696727647513,0.8860837438423645,0.923620025673941,0.9044626021370208,0.040062799998850096
Word2Vec-c+GBDT,H,3881,0.9224426694150992,0.8862937922556853,0.9255455712451861,0.9054945054945055,0.040062799998850096
Word2Vec-c+GBDT,I,3881,0.9206390105642875,0.8858024691358025,0.9210526315789473,0.9030837004405287,0.040062799998850096
Word2Vec-c+GBDT,J,3881,0.9206390105642875,0.8858024691358025,0.9210526315789473,0.9030837004405287,0.040062799998850096
Word2Vec-c+GBDT,K,3881,0.9317186292192734,0.888755261575466,0.9486521181001284,0.9177274138466315,0.040062799998850096
Word2Vec-c+GBDT,L,3881,0.9330069569698531,0.8890887290167866,0.9518613607188704,0.9194048357098574,0.040062799998850096
Word2Vec-c+GBDT,M,3881,0.9245039938160268,0.8868501529051988,0.9306803594351734,0.9082367679298465,0.040062799998850096
Doc2Vec-c+GBDT,ALL,19461,0.8322799445043934,0.9629604911906033,0.8419302135605088,0.8983873980449536,0.2267439999995986
Doc2Vec-c+GBDT,Original,3881,0.7825302757021386,0.6957236842105263,0.8145057766367138,0.7504435245416913,0.2267439999995986
Doc2Vec-c+GBDT,A,3881,0.8031435197114146,0.7063409563409564,0.8722721437740694,0.7805858701895463,0.2267439999995986
Doc2Vec-c+GBDT,B,3881,0.8103581551146611,0.7092668024439919,0.8940949935815148,0.7910278250993753,0.2267439999995986
Doc2Vec-c+GBDT,C,3881,0.7778922958000515,0.6912087912087912,0.8074454428754814,0.7448194197750148,0.2267439999995986
Doc2Vec-c+GBDT,D,3881,0.7763463024993559,0.6912416851441242,0.800385109114249,0.7418203450327187,0.2267439999995986
Doc2Vec-c+GBDT,E,3881,0.7766039680494717,0.6893150684931507,0.8074454428754814,0.7437185929648241,0.2267439999995986
Doc2Vec-c+GBDT,F,3881,0.8095851584643133,0.7114093959731543,0.8844672657252889,0.788555078683834,0.2267439999995986
Doc2Vec-c+GBDT,G,3881,0.7948982221077042,0.7068403908794788,0.8356867779204108,0.7658823529411765,0.2267439999995986
Doc2Vec-c+GBDT,H,3881,0.7887142489049214,0.6942105263157895,0.8465982028241335,0.7628687102371313,0.2267439999995986
