model,attack_type,n_samples,accuracy,precision,recall,f1,seconds
Word2Vec-c+LR,I,3876,0.8831269349845201,0.856957928802589,0.8508997429305912,0.853918090938407,0.01781470000059926
Word2Vec-c+LR,J,3879,0.8832173240525909,0.8570504527813713,0.8509955041746949,0.8540122462133419,0.01781470000059926
Word2Vec-c+LR,K,3348,0.9283154121863799,0.8729729729729729,0.9613095238095238,0.9150141643059491,0.01781470000059926
Word2Vec-c+LR,L,3358,0.9282310899344848,0.8732299393122049,0.9606824925816023,0.9148710702931826,0.01781470000059926
Word2Vec-c+LR,M,3358,0.9103633114949374,0.864808362369338,0.9206231454005934,0.8918433345310816,0.01781470000059926
Word2Vec-c+GBDT,ALL,16102,0.9364054154763384,0.9842077291018146,0.9407794469845417,0.9620037105751391,0.16655700000046636
Word2Vec-c+GBDT,Original,3881,0.913166709610925,0.8729383017715333,0.917201540436457,0.8945226917057904,0.16655700000046636
Word2Vec-c+GBDT,A,3360,0.9196428571428571,0.8723257418909592,0.9369903632320237,0.9035025017869907,0.16655700000046636
Word2Vec-c+GBDT,B,3881,0.9397062612728678,0.8804597701149425,0.9833119383825417,0.929047907822923,0.16655700000046636
Word2Vec-c+GBDT,C,2075,0.9089156626506024,0.8744186046511628,0.9027611044417767,0.8883638511518015,0.16655700000046636
Word2Vec-c+GBDT,D,3881,0.913166709610925,0.8729383017715333,0.917201540436457,0.8945226917057904,0.16655700000046636
Word2Vec-c+GBDT,E,755,0.9112582781456954,0.8641975308641975,0.9240924092409241,0.8931419457735247,0.16655700000046636
Word2Vec-c+GBDT,F,3348,0.929510155316607,0.874830852503383,0.9620535714285714,0.9163713678242381,0.16655700000046636
Word2Vec-c+GBDT,G,2598,0.926481909160893,0.8810375670840788,0.9443911792905082,0.9116149930587691,0.16655700000046636
Word2Vec-c+GBDT,H,3311,0.9226819691935971,0.8728283530229326,0.945071482317532,0.9075144508670521,0.16655700000046636
Word2Vec-c+GBDT,I,3876,0.9135706914344686,0.8729383017715333,0.9183804627249358,0.8950829940494832,0.16655700000046636
Word2Vec-c+GBDT,J,3879,0.9133797370456304,0.8729383017715333,0.9177906229929351,0.8948027551659361,0.16655700000046636
Word2Vec-c+GBDT,K,3348,0.9381720430107527,0.8843813387423936,0.9732142857142857,0.926673751328374,0.16655700000046636
Word2Vec-c+GBDT,L,3358,0.9413341274568195,0.8849498327759198,0.9814540059347181,0.9307069996482589,0.16655700000046636
Word2Vec-c+GBDT,M,3358,0.9347826086956522,0.8765843895930621,0.9747774480712166,0.9230769230769231,0.16655700000046636
Doc2Vec-c+GBDT,ALL,16102,0.8524406905974413,0.9448388858547242,0.8788736483053923,0.9106632576327267,0.1635193000001891
